 num     #instances         #bytes  class name (module)
  91:          7341         352368  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter
  92:         10648         340736  com.intellij.codeInspection.ex.ToolsImpl
  93:          3954         340008  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.7)
  94:         10567         338144  com.android.resources.base.BasicFileResourceItem
  95:          4565         328680  java.lang.reflect.Constructor (java.base@17.0.7)
  96:          6743         323664  com.android.tools.dom.attrs.AttributeDefinition
  97:          4918         314752  java.nio.DirectByteBuffer (java.base@17.0.7)
  98:          9706         310592  java.lang.invoke.LambdaForm$Name (java.base@17.0.7)
  99:          6455         309840  com.android.tools.lint.checks.LibraryVersionLabels
 100:          7591         303640  java.util.WeakHashMap$Entry (java.base@17.0.7)
 101:          3334         293392  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
[...]
Total      14541629      874318264
